Year,Price
1977,2.23
1978,2.34
1979,2.47
1980,2.69
1981,2.78
1982,2.94
1983,3.15
1984,3.36
1985,3.55
1986,3.71
1987,3.91
1988,4.11
1989,3.99
1990,4.22
1991,4.21
1992,4.15
1993,4.14
1994,4.08
1995,4.35
1996,4.42
1997,4.59
1998,4.69
1999,5.06
2000,5.39
2001,5.65
2002,5.8
2003,6.03
2004,6.21
2005,6.41
2006,6.55
2007,6.88
2008,7.18
2009,7.5
2010,7.89
2011,7.93
2012,7.96
2013,8.13
2014,8.17
2015,8.43
2016,8.65
2017,8.97
2018,9.11
2019,9.16
2020,9.18
2021,10.17
2022,10.53
2023,10.94
2024,11.31
2025,11.31
